"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","1,176.75","1,167.10","1,178.57","1,160.00","4.51M","1.33"
"Nov 29, 2017","1,161.27","1,194.80","1,194.80","1,145.19","9.26M","-2.71"
"Nov 28, 2017","1,193.60","1,204.88","1,205.34","1,188.52","4.56M","-0.19"
"Nov 27, 2017","1,195.83","1,202.66","1,213.41","1,191.15","6.74M","0.83"
"Nov 24, 2017","1,186.00","1,160.70","1,186.84","1,160.70","3.53M","2.58"
"Nov 22, 2017","1,156.16","1,141.00","1,160.27","1,141.00","3.56M","1.46"
"Nov 21, 2017","1,139.49","1,132.86","1,140.00","1,128.20","2.48M","1.17"
"Nov 20, 2017","1,126.31","1,129.77","1,133.42","1,122.55","2.16M","-0.32"
"Nov 17, 2017","1,129.88","1,138.28","1,138.80","1,125.81","2.41M","-0.65"
"Nov 16, 2017","1,137.29","1,130.16","1,138.16","1,130.05","2.21M","0.94"
"Nov 15, 2017","1,126.69","1,127.01","1,131.75","1,121.63","3.93M","-0.89"
"Nov 14, 2017","1,136.84","1,130.11","1,138.00","1,123.89","3.14M","0.68"
"Nov 13, 2017","1,129.17","1,123.00","1,139.90","1,122.34","2.92M","0.34"
"Nov 10, 2017","1,125.35","1,126.10","1,131.75","1,124.06","2.18M","-0.33"
"Nov 09, 2017","1,129.13","1,125.96","1,129.62","1,115.77","3.73M","-0.33"
"Nov 08, 2017","1,132.88","1,122.82","1,135.54","1,119.11","2.58M","0.86"
"Nov 07, 2017","1,123.17","1,124.74","1,130.60","1,117.50","2.69M","0.22"
"Nov 06, 2017","1,120.66","1,109.15","1,125.41","1,108.77","3.38M","0.82"
"Nov 03, 2017","1,111.60","1,091.15","1,112.68","1,088.52","3.75M","1.59"
"Nov 02, 2017","1,094.22","1,097.81","1,101.93","1,086.87","3.68M","-0.86"
"Nov 01, 2017","1,103.68","1,105.40","1,108.97","1,096.74","3.76M","-0.14"
"Oct 31, 2017","1,105.28","1,109.00","1,110.54","1,101.12","3.48M","-0.50"
"Oct 30, 2017","1,110.85","1,095.01","1,122.79","1,093.56","6.61M","0.90"
"Oct 27, 2017","1,100.95","1,058.14","1,105.58","1,050.55","16.57M","13.22"
"Oct 26, 2017","972.43","980.33","982.90","968.55","5.62M","-0.05"
"Oct 25, 2017","972.91","978.00","984.44","966.24","3.03M","-0.31"
"Oct 24, 2017","975.90","969.00","979.85","965.00","2.72M","0.99"
"Oct 23, 2017","966.30","986.73","986.77","962.50","3.49M","-1.69"
"Oct 20, 2017","982.91","993.53","994.62","982.00","2.37M","-0.38"
"Oct 19, 2017","986.61","990.00","991.05","980.24","3.11M","-1.04"
"Oct 18, 2017","997.00","1,009.27","1,022.31","996.55","2.50M","-1.20"
"Oct 17, 2017","1,009.13","1,005.59","1,011.47","1,004.38","2.32M","0.28"
"Oct 16, 2017","1,006.34","1,008.44","1,009.57","1,001.04","2.01M","0.34"
"Oct 13, 2017","1,002.94","1,007.00","1,007.77","1,001.03","2.43M","0.20"
"Oct 12, 2017","1,000.93","996.81","1,008.44","992.40","4.07M","0.60"
"Oct 11, 2017","995.00","991.27","995.50","986.70","2.34M","0.79"
"Oct 10, 2017","987.20","996.67","997.95","980.10","3.08M","-0.38"
"Oct 09, 2017","990.99","993.24","998.50","987.50","2.94M","0.14"
"Oct 06, 2017","989.58","975.64","995.75","975.64","3.78M","0.89"
"Oct 05, 2017","980.85","970.00","981.51","969.64","3.23M","1.60"
"Oct 04, 2017","965.45","954.21","967.79","954.05","2.53M","0.87"
"Oct 03, 2017","957.10","958.00","963.69","950.37","2.67M","-0.22"
"Oct 02, 2017","959.19","964.00","967.30","952.12","2.44M","-0.22"
"Sep 29, 2017","961.35","960.11","964.83","958.38","2.54M","0.52"
"Sep 28, 2017","956.40","951.86","959.70","950.10","2.52M","0.58"
"Sep 27, 2017","950.87","948.00","955.30","943.30","3.15M","1.31"
"Sep 26, 2017","938.60","945.49","948.63","931.75","3.56M","-0.13"
"Sep 25, 2017","939.79","949.31","949.42","932.89","5.12M","-1.60"
"Sep 22, 2017","955.10","961.01","965.61","954.42","2.64M","-0.99"
"Sep 21, 2017","964.65","971.31","971.70","962.02","2.34M","-0.88"
"Sep 20, 2017","973.21","971.79","974.81","962.16","2.89M","0.35"
"Sep 19, 2017","969.86","977.25","978.24","967.46","2.67M","-0.44"
"Sep 18, 2017","974.19","990.40","992.79","968.17","3.41M","-1.28"
"Sep 15, 2017","986.79","993.01","996.25","984.03","3.76M","-0.55"
"Sep 14, 2017","992.21","996.80","998.56","987.74","3.91M","-0.74"
"Sep 13, 2017","999.60","983.97","1,000.00","979.42","3.37M","1.73"
"Sep 12, 2017","982.58","983.27","984.67","975.52","2.48M","0.47"
"Sep 11, 2017","977.96","974.46","981.94","974.22","2.19M","1.25"
"Sep 08, 2017","965.90","979.10","979.88","963.47","2.61M","-1.39"
"Sep 07, 2017","979.47","974.00","980.59","972.55","2.57M","1.21"
"Sep 06, 2017","967.80","968.32","971.84","960.60","2.13M","0.26"
"Sep 05, 2017","965.27","975.40","976.77","960.37","3.00M","-1.33"
"Sep 01, 2017","978.25","984.20","984.50","976.88","2.54M","-0.24"
"Aug 31, 2017","980.60","974.70","981.00","972.76","3.33M","1.34"
"Aug 30, 2017","967.59","958.44","969.41","956.91","2.90M","1.42"
"Aug 29, 2017","954.06","940.00","956.00","936.33","2.87M","0.85"
"Aug 28, 2017","946.02","946.54","953.00","942.25","2.60M","0.08"
"Aug 25, 2017","945.26","956.00","957.62","944.10","3.32M","-0.75"
"Aug 24, 2017","952.45","957.42","959.00","941.14","5.20M","-0.58"
"Aug 23, 2017","958.00","959.38","962.00","954.20","2.67M","-0.92"
"Aug 22, 2017","966.90","955.52","967.93","955.50","2.75M","1.43"
"Aug 21, 2017","953.29","957.57","961.20","945.46","3.16M","-0.54"
"Aug 18, 2017","958.47","961.40","965.43","954.65","3.28M","-0.22"
"Aug 17, 2017","960.57","977.84","977.84","960.32","3.51M","-1.80"
"Aug 16, 2017","978.18","981.65","986.46","973.22","3.13M","-0.46"
